corridor_id,corridor_name,corridor_from,corridor_to,item_name,emoji,description,tier,category,latitude,longitude,visible_from_highway,add_count,spot_count,miss_count,confuse_count,image_url,notes
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Cologne Cathedral Spires,⛪,"Twin 157m Gothic spires took 632 years to complete and survived 14 WWII bombing raids. Visible for miles from the A4 bridge over the Rhine.",legendary,landmark,50.9413,6.9583,TRUE,47,42,2,0,,Absolutely unmistakable from the highway. Best viewed crossing the Deutzer Brücke.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Former East-West German Border,🚧,"Near Helmstedt — once the most heavily guarded border in the world. Watch for memorial markers and the old checkpoint infrastructure.",legendary,infrastructure,52.2279,11.0098,TRUE,38,31,4,1,,Look for the green signs marking the former border zone on the A2.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Aachen Cathedral,⛪,"Charlemagne's imperial cathedral from 805 AD — the first UNESCO World Heritage site in Germany. Octagonal dome visible from A4.",legendary,landmark,50.7753,6.0839,TRUE,29,22,5,2,,Visible briefly from the A4 near Aachen exit. Easy to miss if you're not watching.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Rhine River Crossing,🌊,"One of Europe's great rivers — you cross it on the A4 near Cologne. Barges, bridges, and riverside industry everywhere.",listed,landmark,50.9364,6.9628,TRUE,33,30,1,0,,Multiple crossing points depending on exact route.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Belgian Toll Booth,🚧,"Belgium's motorway toll system — different from France's. Watch for the Liefkenshoektunnel toll if routing through Antwerp.",listed,infrastructure,51.0500,4.3500,TRUE,21,18,3,1,,Not all routes through Belgium have tolls; depends on exact path.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Wind Farm on Plains,💨,"Massive wind turbines on the flat North German Plain — Germany is Europe's largest wind energy producer.",listed,landscape,52.1000,10.5000,TRUE,26,24,1,0,,Impossible to miss on the A2 between Hannover and Magdeburg.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,French Péage (Toll),🚧,"France's autoroute toll plazas — take a ticket entering, pay when exiting. The A4 is a toll road.",community_verified,infrastructure,49.2000,3.5000,TRUE,12,11,0,0,,
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Autobahn Speed Sign,🏎️,"The famous derestricted autobahn — look for the round white sign with diagonal black lines meaning 'no speed limit'.",community_verified,culture,52.0000,11.0000,TRUE,9,8,0,1,,Some users confused this with the end-of-restriction sign.
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Half-Timbered Houses,🏘️,"Fachwerk houses with exposed wooden framing — a distinctive building style across western Germany, especially visible in towns near the highway.",community_verified,culture,50.8000,7.0000,TRUE,7,6,1,0,,
paris-berlin-a4,Paris to Berlin (A4/A3),Paris,Berlin,Champagne Vineyards,🍇,"Rolling hillside vineyards east of Paris — you're driving through the world's most famous sparkling wine region on the A4.",listed,landscape,49.0500,3.9500,TRUE,15,12,2,1,,Best visible in summer/early fall. Winter they look like bare sticks.
